 Fecha,CAPE,Agua Precipitable
 01 Jan 2016,0.00,7.46
 02 Jan 2016,0.00,5.85
 03 Jan 2016,0.00,5.16
 04 Jan 2016,0.00,4.89
 05 Jan 2016,0.00,10.49
 06 Jan 2016,0.00,11.57
 07 Jan 2016,0.00,6.75
 08 Jan 2016,0.84,6.45
 09 Jan 2016,0.00,6.28
 10 Jan 2016,0.00,4.39
 11 Jan 2016,0.00,3.00
 12 Jan 2016,0.00,2.73
 13 Jan 2016,0.00,2.52
 14 Jan 2016,0.00,3.14
 15 Jan 2016,0.00,5.04
 16 Jan 2016,0.00,5.11
 17 Jan 2016,0.00,5.80
 18 Jan 2016,0.00,5.61
 19 Jan 2016,0.00,6.96
 20 Jan 2016,0.00,8.98
 21 Jan 2016,0.00,4.25
 22 Jan 2016,0.00,5.38
 23 Jan 2016,0.00,4.80
 24 Jan 2016,0.00,4.65
 25 Jan 2016,0.00,5.39
 26 Jan 2016,0.00,4.49
 27 Jan 2016,0.00,4.57
 28 Jan 2016,0.00,6.44
 29 Jan 2016,0.00,6.12
 30 Jan 2016,0.00,9.41
 31 Jan 2016,0.00,11.67
 01 Feb 2016,3.03,10.45
 02 Feb 2016,0.00,4.65
 03 Feb 2016,0.00,3.04
 04 Feb 2016,0.00,2.12
 05 Feb 2016,0.00,4.23
 06 Feb 2016,0.00,3.20
 07 Feb 2016,0.00,4.54
 08 Feb 2016,0.00,4.80
 09 Feb 2016,0.00,6.21
 10 Feb 2016,0.00,4.65
 11 Feb 2016,0.00,3.22
 12 Feb 2016,0.00,5.96
 13 Feb 2016,0.00,5.22
 14 Feb 2016,0.00,5.74
 15 Feb 2016,0.00,5.80
 16 Feb 2016,0.00,7.46
 17 Feb 2016,0.00,4.00
 18 Feb 2016,0.00,5.18
 19 Feb 2016,0.00,8.16
 20 Feb 2016,0.00,8.21
 21 Feb 2016,0.00,5.05
 22 Feb 2016,0.00,6.46
 23 Feb 2016,0.00,6.92
 24 Feb 2016,0.00,5.46
 25 Feb 2016,0.00,4.39
 26 Feb 2016,0.00,5.66
 27 Feb 2016,0.00,5.70
 28 Feb 2016,0.00,5.37
 01 Mar 2016,0.00,5.92
 02 Mar 2016,0.00,6.36
 03 Mar 2016,0.00,3.49
 04 Mar 2016,0.00,4.69
 05 Mar 2016,0.00,5.69
 06 Mar 2016,0.00,14.13
 07 Mar 2016,0.00,6.50
 08 Mar 2016,0.00,7.07
 09 Mar 2016,0.00,6.88
 10 Mar 2016,0.00,3.80
 11 Mar 2016,0.00,5.38
 12 Mar 2016,0.00,6.97
 13 Mar 2016,0.00,6.02
 14 Mar 2016,0.00,8.76
 15 Mar 2016,0.00,3.98
 16 Mar 2016,0.00,3.94
 17 Mar 2016,0.00,4.73
 18 Mar 2016,0.00,5.09
 19 Mar 2016,0.00,6.57
 20 Mar 2016,0.00,6.35
 21 Mar 2016,0.00,7.14
 22 Mar 2016,0.00,5.00
 23 Mar 2016,0.00,4.97
 24 Mar 2016,0.00,4.79
 25 Mar 2016,0.00,5.29
 26 Mar 2016,0.00,5.32
 27 Mar 2016,0.00,3.21
 28 Mar 2016,0.00,6.11
 29 Mar 2016,0.00,7.30
 30 Mar 2016,0.00,8.43
 31 Mar 2016,0.00,4.32
 01 Apr 2016,0.00,7.93
 02 Apr 2016,0.00,7.36
 03 Apr 2016,0.00,5.35
 04 Apr 2016,0.00,6.23
 05 Apr 2016,0.00,5.96
 06 Apr 2016,0.00,1.53
 07 Apr 2016,0.00,3.84
 08 Apr 2016,0.00,12.69
 09 Apr 2016,0.00,12.79
 10 Apr 2016,0.00,7.25
 11 Apr 2016,0.00,12.01
 12 Apr 2016,0.00,10.91
 13 Apr 2016,0.00,12.76
 14 Apr 2016,0.00,10.16
 15 Apr 2016,0.00,10.69
 16 Apr 2016,88.17,7.42
 17 Apr 2016,0.00,10.80
 18 Apr 2016,0.00,10.29
 19 Apr 2016,0.00,6.76
 20 Apr 2016,0.00,8.94
 21 Apr 2016,0.00,8.72
 22 Apr 2016,0.00,10.45
 23 Apr 2016,0.00,14.32
 24 Apr 2016,0.00,4.89
 25 Apr 2016,0.00,5.81
 26 Apr 2016,0.00,4.67
 27 Apr 2016,0.00,8.37
 28 Apr 2016,0.00,10.51
 29 Apr 2016,3.07,9.14
 30 Apr 2016,0.00,11.46
 01 May 2016,0.00,10.84
 02 May 2016,0.00,10.70
 03 May 2016,0.00,10.99
 04 May 2016,0.00,8.34
 05 May 2016,0.00,8.93
 06 May 2016,0.00,11.76
 07 May 2016,0.00,5.43
 08 May 2016,0.00,7.18
 09 May 2016,0.00,11.85
 10 May 2016,0.00,10.79
 11 May 2016,0.00,11.19
 12 May 2016,0.00,10.37
 13 May 2016,0.00,11.91
 14 May 2016,15.37,13.90
 15 May 2016,27.53,21.15
 16 May 2016,84.45,10.10
 17 May 2016,0.00,12.93
 18 May 2016,0.00,14.48
 19 May 2016,0.00,15.11
 20 May 2016,0.00,12.17
 21 May 2016,0.00,7.96
 22 May 2016,0.00,6.66
 23 May 2016,0.00,10.05
 24 May 2016,0.00,6.98
 25 May 2016,0.00,4.83
 26 May 2016,0.00,7.82
 27 May 2016,0.00,10.01
 28 May 2016,0.00,9.00
 29 May 2016,0.00,5.81
 30 May 2016,0.00,8.59
 31 May 2016,125.33,14.74
 01 Jun 2016,0.00,17.26
 02 Jun 2016,9.95,18.85
 03 Jun 2016,0.00,12.87
 04 Jun 2016,9.84,19.86
 05 Jun 2016,3.39,21.39
 06 Jun 2016,10.17,20.02
 07 Jun 2016,38.19,19.25
 08 Jun 2016,0.00,13.36
 09 Jun 2016,0.00,20.65
 10 Jun 2016,0.00,18.10
 11 Jun 2016,0.00,20.43
 12 Jun 2016,14.45,22.35
 13 Jun 2016,0.00,15.78
 14 Jun 2016,0.00,7.42
 15 Jun 2016,0.00,6.79
 16 Jun 2016,0.00,7.49
 17 Jun 2016,0.00,6.53
 18 Jun 2016,0.00,5.70
 19 Jun 2016,603.29,17.66
 20 Jun 2016,0.00,22.12
 21 Jun 2016,0.00,16.18
 22 Jun 2016,0.00,21.59
 23 Jun 2016,109.73,25.58
 24 Jun 2016,4.62,24.49
 25 Jun 2016,5.34,26.49
 26 Jun 2016,7.77,24.87
 27 Jun 2016,0.00,20.23
 28 Jun 2016,386.75,22.11
 30 Jun 2016,24.75,25.70
 01 Jul 2016,12.42,24.00
 02 Jul 2016,348.18,26.56
 03 Jul 2016,0.00,19.39
 04 Jul 2016,0.00,15.97
 05 Jul 2016,0.00,16.17
 06 Jul 2016,0.00,18.28
 07 Jul 2016,0.00,17.61
 08 Jul 2016,0.00,14.86
 09 Jul 2016,134.85,16.66
 10 Jul 2016,0.00,15.07
 11 Jul 2016,0.00,13.75
 12 Jul 2016,0.00,12.01
 13 Jul 2016,0.00,12.65
 14 Jul 2016,0.00,10.70
 15 Jul 2016,801.01,19.73
 16 Jul 2016,3.04,15.55
 17 Jul 2016,1.59,21.36
 18 Jul 2016,38.62,25.26
 19 Jul 2016,99.28,26.71
 20 Jul 2016,14.22,25.14
 21 Jul 2016,0.37,24.05
 22 Jul 2016,1.49,25.08
 23 Jul 2016,30.69,26.36
 24 Jul 2016,219.91,26.10
 25 Jul 2016,11.36,27.32
 26 Jul 2016,90.37,32.60
 27 Jul 2016,148.00,30.38
 28 Jul 2016,443.14,24.97
 29 Jul 2016,148.34,25.55
 30 Jul 2016,59.65,23.53
 31 Jul 2016,2.50,26.86
 01 Aug 2016,0.60,30.16
 02 Aug 2016,165.63,34.11
 03 Aug 2016,102.32,32.32
 04 Aug 2016,0.33,31.02
 05 Aug 2016,56.41,30.63
 06 Aug 2016,90.61,28.71
 07 Aug 2016,91.61,27.35
 08 Aug 2016,173.10,28.90
 09 Aug 2016,82.24,26.28
 10 Aug 2016,0.00,28.63
 11 Aug 2016,12.40,30.67
 12 Aug 2016,0.00,17.21
 13 Aug 2016,519.38,26.53
 14 Aug 2016,3.66,19.73
 15 Aug 2016,0.00,19.78
 16 Aug 2016,68.01,21.54
 17 Aug 2016,25.38,21.07
 18 Aug 2016,0.00,22.36
 19 Aug 2016,133.78,23.69
 20 Aug 2016,6.80,23.24
 21 Aug 2016,3.33,22.73
 22 Aug 2016,55.03,26.53
 23 Aug 2016,42.29,21.58
 24 Aug 2016,0.00,20.71
 25 Aug 2016,0.00,17.99
 26 Aug 2016,58.68,22.24
 27 Aug 2016,83.56,22.49
 28 Aug 2016,4.04,19.17
 29 Aug 2016,0.96,19.29
 30 Aug 2016,0.17,21.28
 31 Aug 2016,37.72,24.39
 01 Sep 2016,21.76,23.85
 02 Sep 2016,22.01,26.84
 03 Sep 2016,139.95,28.23
 04 Sep 2016,146.53,25.14
 05 Sep 2016,181.19,19.92
 06 Sep 2016,615.54,28.86
 07 Sep 2016,57.38,31.45
 08 Sep 2016,14.59,28.79
 09 Sep 2016,0.00,11.14
 10 Sep 2016,0.00,18.26
 11 Sep 2016,2.44,22.95
 12 Sep 2016,23.91,17.84
 13 Sep 2016,0.00,19.39
 14 Sep 2016,331.41,21.67
 15 Sep 2016,0.00,16.70
 16 Sep 2016,105.15,16.07
 17 Sep 2016,509.74,16.54
 18 Sep 2016,0.00,5.85
 19 Sep 2016,0.00,5.21
 20 Sep 2016,0.00,10.98
 21 Sep 2016,0.00,23.50
 22 Sep 2016,38.63,26.94
 23 Sep 2016,179.30,14.27
 24 Sep 2016,0.00,8.68
 25 Sep 2016,0.00,10.57
 26 Sep 2016,0.00,9.40
 27 Sep 2016,0.00,15.46
 28 Sep 2016,0.00,18.24
 29 Sep 2016,0.00,15.89
 30 Sep 2016,6.26,22.28
 01 Oct 2016,97.05,18.30
 02 Oct 2016,0.00,14.91
 03 Oct 2016,2.11,23.67
 04 Oct 2016,0.00,6.96
 05 Oct 2016,0.00,7.13
 06 Oct 2016,0.00,8.70
 07 Oct 2016,0.00,8.64
 08 Oct 2016,0.00,15.07
 09 Oct 2016,0.00,20.65
 10 Oct 2016,0.00,14.10
 11 Oct 2016,0.00,16.15
 12 Oct 2016,0.00,7.16
 13 Oct 2016,0.00,11.83
 14 Oct 2016,0.00,9.13
 15 Oct 2016,0.00,6.92
 16 Oct 2016,0.00,5.13
 17 Oct 2016,0.00,7.59
 18 Oct 2016,0.00,8.60
 19 Oct 2016,0.00,8.68
 20 Oct 2016,0.00,7.73
 21 Oct 2016,0.00,8.27
 22 Oct 2016,0.00,9.75
 23 Oct 2016,0.00,12.88
 24 Oct 2016,0.00,11.65
 25 Oct 2016,0.00,18.00
 26 Oct 2016,0.00,11.42
 27 Oct 2016,0.00,10.75
 28 Oct 2016,0.00,12.23
 29 Oct 2016,0.00,14.07
 30 Oct 2016,0.00,12.03
 31 Oct 2016,0.00,14.63
 01 Nov 2016,0.00,13.81
 02 Nov 2016,0.00,9.76
 03 Nov 2016,0.00,16.09
 04 Nov 2016,0.00,19.73
 05 Nov 2016,0.00,16.68
 06 Nov 2016,0.00,15.32
 07 Nov 2016,0.00,10.33
 08 Nov 2016,0.00,9.15
 09 Nov 2016,0.00,6.86
 10 Nov 2016,0.00,7.60
 11 Nov 2016,0.00,11.37
 12 Nov 2016,0.00,11.30
 13 Nov 2016,0.00,9.82
 14 Nov 2016,0.00,7.31
 15 Nov 2016,0.00,9.17
 16 Nov 2016,0.00,9.06
 17 Nov 2016,0.00,10.64
 18 Nov 2016,0.00,3.72
 19 Nov 2016,0.00,5.73
 20 Nov 2016,0.00,9.32
 21 Nov 2016,0.00,18.96
 22 Nov 2016,0.02,8.67
 23 Nov 2016,0.00,5.94
 24 Nov 2016,0.00,4.29
 25 Nov 2016,0.00,3.16
 26 Nov 2016,0.00,5.05
 27 Nov 2016,0.00,12.32
 28 Nov 2016,0.00,6.09
 29 Nov 2016,0.00,4.42
 30 Nov 2016,0.00,3.26
 01 Dec 2016,0.00,4.78
 02 Dec 2016,0.00,8.04
 03 Dec 2016,0.00,11.07
 04 Dec 2016,0.00,3.34
 05 Dec 2016,0.00,6.74
 06 Dec 2016,0.00,5.63
 07 Dec 2016,0.00,6.64
 08 Dec 2016,0.00,7.92
 09 Dec 2016,0.00,8.88
 10 Dec 2016,0.00,8.58
 11 Dec 2016,0.00,12.01
 12 Dec 2016,0.00,6.84
 13 Dec 2016,0.00,10.69
 14 Dec 2016,0.00,11.50
 15 Dec 2016,0.00,5.13
 16 Dec 2016,0.00,14.51
 17 Dec 2016,0.00,10.74
 18 Dec 2016,0.00,2.48
 19 Dec 2016,0.00,2.56
 20 Dec 2016,0.00,1.67
 21 Dec 2016,0.00,8.78
 22 Dec 2016,0.00,17.69
 23 Dec 2016,0.00,10.43
 24 Dec 2016,0.00,7.85
 25 Dec 2016,0.00,4.74
 26 Dec 2016,0.00,4.71
 27 Dec 2016,0.00,6.01
 28 Dec 2016,0.00,4.47
 29 Dec 2016,0.00,4.09
 30 Dec 2016,0.00,4.72
 31 Dec 2016,0.00,12.01
